Title
Retail Salespersons
Secretaries and Administrative Assistants
Fast Food and Counter Workers
Cashiers
Laborers and Material Movers
Building Cleaning Workers
Office Clerks
Driver/Sales Workers and Truck Drivers
Registered Nurses
Nursing
Waiters and Waitresses
Customer Service Representatives
Cooks
Elementary and Middle School Teachers
General and Operations Managers
Stock Clerks and Order Fillers
Sales Representatives
Bookkeeping
First-Line Supervisors of Sales Workers
